SampleID,RUN,Group_RUN
14-MDGAAA55,Research-mrdgw-all-06052024,06062024
10-QHAB01,Research-mrdgw-all-06052024,06062024
11-MDGAAA73,Research-mrdgw-all-06052024,06062024
14-UCAA44,Research-mrdgw-all-06052024,06062024
3-KABG73,Research-mrdgw-all-06052024,06062024
9-MDGAAA68,Research-mrdgw-all-06052024,06062024
13-UCAA07,Research-mrdgw-all-06052024,06062024
4-KABG29,Research-mrdgw-all-06052024,06062024
6-Q3AA11,Research-mrdgw-all-06052024,06062024
17-MDGAAA90,Research-mrdgw-all-06052024,06062024
10-MDGAAB14,Research-mrdgw-all-06052024,06062024
2-UHAA07,Research-mrdgw-all-06052024,06062024
5-KABG68,Research-mrdgw-all-06052024,06062024
4-KABG59,Research-mrdgw-all-06052024,06062024
9-MDGAAB48,Research-mrdgw-all-06052024,06062024
16-MDGAAA41,Research-mrdgw-all-06052024,06062024
8-QCAA33,Research-mrdgw-all-06052024,06062024
4-MDGAAA33,Research-mrdgw-all-06052024,06062024
1-KABG44,Research-mrdgw-all-06052024,06062024
84-MEKAAA10,S0037,cmc_MRD
88-LAAX49A,S0037,cmc_MRD
86-LAAX45A,S0037,cmc_MRD
85-LAAX44A,S0037,cmc_MRD
87-LAAX47A,S0037,cmc_MRD
94-MQAAAB70,R5515,cmc_MRD
97-MECAAA37,R5515,cmc_MRD
96-GWCT,R5515,cmc_MRD
95-MECAAA38,R5515,cmc_MRD
29-MUGAAB07,R5444,cmc_MRD
4-ZMB014D,R5444,cmc_MRD
14-MUGAAA28,R5444,cmc_MRD
8-ZMB047D,R5444,cmc_MRD
5-ZMB022D,R5444,cmc_MRD
7-ZMB042D,R5444,cmc_MRD
10-ZMC005D,R5444,cmc_MRD
17-ZMB048D,R5444,cmc_MRD
13-MUGAAA69,R5444,cmc_MRD
25-ZMC045B,R5444,cmc_MRD
19-ZMB053C,R5444,cmc_MRD
16-K0AH91,R5444,cmc_MRD
20-ZMB054C,R5444,cmc_MRD
1-ZMB007D,R5444,cmc_MRD
28-MUGAAA08,R5444,cmc_MRD
12-QHAB58,R5444,cmc_MRD
23-ZMB099B,R5444,cmc_MRD
27-ZMC101D,R5444,cmc_MRD
2-ZMB012D,R5444,cmc_MRD
11-ZMC009D,R5444,cmc_MRD
26-ZMC070B,R5444,cmc_MRD
21-ZMB070C,R5444,cmc_MRD
15-QHAB36,R5444,cmc_MRD
9-ZMC002D,R5444,cmc_MRD
30-MUGAAB02,R5444,cmc_MRD
18-ZMB051C,R5444,cmc_MRD
32-K0AI02,R5444,cmc_MRD
24-ZMB207B,R5444,cmc_MRD
31-MUGAAA66,R5444,cmc_MRD
22-ZMB086C,R5444,cmc_MRD
6-ZMB040D,R5444,cmc_MRD
3-ZMB013D,R5444,cmc_MRD
